SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),5929 S Paulina St,Chicago,IL,60636,179000,6,2.0,CHI - West Englewood,,3049,1910,1,,,Active,,,https://www.redfin.com/IL/Chicago/5929-S-Paulina-St-60636/home/13937774,MRED,11644818,N,Y,41.7858544,-87.6664932
MLS Listing,,Single Family Residential,1700 W 91st Pl,Chicago,IL,60620,260000,3,3.0,CHI - Washington Heights,2200,6250,1924,1,118,,Active,October-8-2022 11:00 AM,October-8-2022 01:00 PM,https://www.redfin.com/IL/Chicago/1700-W-91st-Pl-60620/home/13099144,MRED,11644773,N,Y,41.7277033,-87.6654915
MLS Listing,,Multi-Family (2-4 Unit),6625 N California Ave,Chicago,IL,60645,525000,6,4.0,CHI - West Ridge,,,1958,1,,,Active,,,https://www.redfin.com/IL/Chicago/6625-N-California-Ave-60645/home/13582438,MRED,11640667,N,Y,42.0019766,-87.6994412
MLS Listing,,Condo/Co-op,1601 S State St Unit 3E,Chicago,IL,60616,384900,3,2.0,CHI - Near South Side,1650,,2004,1,233,670,Active,,,https://www.redfin.com/IL/Chicago/1601-S-State-St-60616/unit-3E/home/179110292,MRED,11644652,N,Y,41.8599299,-87.6268884
MLS Listing,,Condo/Co-op,100 E 14th St #1807,Chicago,IL,60605,399000,2,2.0,CHI - Near South Side,1248,,2008,1,320,610,Active,October-8-2022 12:00 PM,October-8-2022 02:00 PM,https://www.redfin.com/IL/Chicago/100-E-14th-St-60605/unit-1807/home/39570460,MRED,11644076,N,Y,41.8645195,-87.6238055
MLS Listing,,Condo/Co-op,2214 N Campbell Ave Unit 1B,Chicago,IL,60647,379999,3,3.0,CHI - Logan Square,1600,,1894,1,237,286,Active,,,https://www.redfin.com/IL/Chicago/2214-N-Campbell-Ave-60647/unit-1B/home/18936313,MRED,11643850,N,Y,41.9221112,-87.6896587
MLS Listing,,Single Family Residential,8500 S Keeler Ave,Chicago,IL,60652,320000,3,1.5,CHI - Ashburn,1222,5148,1968,1,262,,Active,,,https://www.redfin.com/IL/Chicago/8500-S-Keeler-Ave-60652/home/13967353,MRED,11643825,N,Y,41.7382956,-87.7267083
MLS Listing,,Condo/Co-op,1440 S Michigan Ave #514,Chicago,IL,60605,345000,2,2.0,CHI - Near South Side,1100,,2000,1,314,478,Active,October-8-2022 11:00 AM,October-8-2022 01:00 PM,https://www.redfin.com/IL/Chicago/1440-S-Michigan-Ave-60605/unit-514/home/12733007,MRED,11643799,N,Y,41.863073831,-87.62441374
MLS Listing,,Multi-Family (2-4 Unit),1936 W Belle Plaine Ave,Chicago,IL,60613,979900,6,3.0,CHI - North Center,,,1898,4,,,Active,,,https://www.redfin.com/IL/Chicago/1936-W-Belle-Plaine-Ave-60613/home/13389613,MRED,11640604,N,Y,41.9561936,-87.677857
MLS Listing,,Single Family Residential,419 E 42nd St,Chicago,IL,60653,455000,8,3.5,CHI - Grand Boulevard,3900,4922,1893,4,117,,Active,October-8-2022 02:00 PM,October-8-2022 04:00 PM,https://www.redfin.com/IL/Chicago/419-E-42nd-St-60653/home/13960954,MRED,11638571,N,Y,41.8182449,-87.6158032
